Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420594810.189791441;-77.916015625;-82.35141754150390625
1420596808.1917893887;-79.3731231689453125;-82.1546630859375
1420598806.1937873363;-80.49671173095703125;-82.1326141357421875
1420600804.195785284;-81.44147491455078125;-89.11707305908203125
1420602802.1977832317;-81.673980712890625;-85.05680084228515625
1420604800.1997811794;-79.19190216064453125;-82.028594970703125
1420606798.2017791271;-80.24726104736328125;-82.9591217041015625
1420608796.2037770748;-82.957366943359375;-85.961456298828125
1420610794.2057750225;-85.3319244384765625;-90.31191253662109375
1420612792.2077729702;-84.97348785400390625;-95.0758209228515625
1420614790.2097709179;-83.0623016357421875;-84.64148712158203125
1420616788.2117688656;-82.0722198486328125;-86.3625335693359375
1420618786.2137668133;-85.23401641845703125;-91.23712158203125
1420620784.215764761;-81.269256591796875;-82.644989013671875
1420622782.2177627087;-81.25286865234375;-83.63191986083984375
1420624780.2197606564;-80.434783935546875;-88.89313507080078125
1420626778.221758604;-82.05356597900390625;-90.76568603515625
1420628776.2237565517;-82.04393768310546875;-89.66925048828125
1420630774.2257544994;-79.32402801513671875;-84.14430999755859375
1420632772.2277524471;-79.290557861328125;-80.3845977783203125
1420634770.2297503948;-82.40496826171875;-84.96588134765625
1420636768.2317483425;-83.3711700439453125;-88.69606781005859375
1420638766.2337462902;-76.49507904052734375;-86.5123138427734375
1420640764.2357442379;-74.35042572021484375;-82.94183349609375
1420642762.2377421856;-75.6829071044921875;-81.5101318359375
1420644760.2397401333;-82.3854827880859375;-87.16973876953125
1420646758.241738081;-85.48270416259765625;-86.91339111328125
1420648756.2437360287;-86.780303955078125;-88.65216827392578125
1420650754.2457339764;-81.382049560546875;-89.17841339111328125
1420652752.2477319241;-63.996524810791015625;-63.996524810791015625
1420654750.2497298717;-59.68012237548828125;-59.68012237548828125
1420656748.2517278194;-63.388874053955078125;-63.388874053955078125
1420658746.2537257671;-78.76386260986328125;-78.76386260986328125
1420660744.2557237148;-82.13253021240234375;-87.4234619140625
1420662742.2577216625;-83.21041107177734375;-90.9596099853515625
1420664740.2597196102;-80.55568695068359375;-92.2605438232421875
1420666738.2617175579;-82.05165863037109375;-85.175262451171875
1420668736.2637155056;-81.43003082275390625;-83.84981536865234375
1420670734.2657134533;-80.96343231201171875;-84.2174835205078125
1420672732.267711401;-78.49715423583984375;-85.28924560546875
1420674730.2697093487;-79.6339569091796875;-81.62027740478515625
1420676728.2717072964;-77.5291900634765625;-89.80022430419921875
1420678726.2737052441;-79.21196746826171875;-91.9896697998046875
1420680724.2757031918;-83.1097869873046875;-87.67928314208984375
